NCBI accession,GTDB accession,GTDB taxonomy,NCBI FTP path
GCF_001534785.1,GB_GCA_000332645.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus inaquosorum,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/534/785/GCF_001534785.1_ASM153478v1
GCF_009627355.1,GB_GCA_000612485.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella holmesii,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/627/355/GCF_009627355.1_ASM962735v1
GCF_009299385.1,GB_GCA_000716465.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces bikiniensis,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/299/385/GCF_009299385.1_ASM929938v1
GCF_000934545.1,GB_GCA_000934545.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Rugosibacter;s__Rugosibacter aromaticivorans,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/545/GCF_000934545.1_ASM93454v1
GCF_002865995.1,GB_GCA_000953675.1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium sordellii,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/865/995/GCF_002865995.1_ASM286599v1
GCF_009739535.1,GB_GCA_001311745.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus;s__Lentilactobacillus kefiri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/739/535/GCF_009739535.1_ASM973953v1
GCF_001594225.2,GB_GCA_001594225.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E glycinae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/225/GCF_001594225.2_ASM159422v2
GCF_011600945.2,GB_GCA_001816265.1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter fetus,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/600/945/GCF_011600945.2_ASM1160094v2
GCF_012923785.1,GB_GCA_004346725.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter;s__Phytobacter diazotrophicus,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/923/785/GCF_012923785.1_ASM1292378v1
GCF_014217335.1,GB_GCA_014217335.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Teredinibacter;s__Teredinibacter sp000966245,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/335/GCF_014217335.1_ASM1421733v1
